"CD38"	-2.05480357219086	0.00101462218877279
"ARHGAP33"	-1.2734293865592	0.00396668086440163
"PDK4"	-1.82268131645756	2.29030410948507e-75
"TSPOAP1"	-2.10112354858409	2.15426823677835e-12
"ABCC8"	-1.58720640046295	1.05814970000796e-05
"ETV1"	-1.13299701207532	2.44182320169248e-14
"USH1C"	-4.45165464548477	7.27957334907926e-69
"SCIN"	-1.58542419473286	2.3474717450309e-15
"DNAH9"	3.40038677107308	0.0256010938267646
"TRAPPC6A"	-1.34218223707434	0.00527510233866945
"SCN4A"	4.07358728517205	0.0155195682093532
"SYN1"	-1.63140058602176	0.0441175540395237
"TENM1"	-1.10345506432115	1.19942628771159e-12
"GIPR"	-1.02653128605326	0.0304995684376914
"SLC6A7"	-2.61358953343865	0.00525506004556869
"ZBTB32"	-1.05824554030253	0.00736543986892511
"LTF"	-1.21876153316678	0.0116733654625716
"CLDN11"	1.03555087550787	0.017280466909198
"IL20RA"	1.17851272758123	0.0209070754748618
"CNTN1"	-2.37908243998244	0.0282811105980798
"CYP24A1"	-1.77778619311145	3.73012532537944e-16
"CD74"	-2.31094719016596	2.50975138606698e-20
"ADGRA2"	-1.48865563242439	4.28480519299365e-40
"NRXN3"	-1.29586552295412	0.00542100625065994
"SNAPC1"	1.31559724895559	2.0430636299179e-21
"ANK1"	-1.78107707860442	3.66495097194879e-22
"CASR"	4.45497875247753	0.021664793341171
"HSPA5"	1.07758643381688	3.95843607146859e-06
"ROS1"	-3.04348845120474	1.19989319841415e-55
"ELN"	-1.4326024644244	0.010051733069954
"TNIP3"	2.88885567259633	4.40466450743611e-09
"HHAT"	1.1158642791533	5.87393024223753e-07
"PLEKHH1"	-1.77966479883731	3.05931856344143e-17
"CYFIP2"	-1.05291733119598	8.53189835666698e-14
"PKP2"	1.09639448899605	0.00026683710253938
"DGKG"	2.94871664217814	0.0210225363238583
"SEZ6"	-1.25243065177895	0.0310901357304215
"CA11"	-1.49729996722111	8.14113239115641e-10
"CTNNA2"	-2.82748030503965	1.10246576314935e-17
"MPPED2"	3.17612981626428	0.0094536705704146
"STAG3"	-1.3215059648838	0.00219384325007336
"DAPP1"	-1.28925560978215	0.0010962590460586
"ST6GALNAC2"	-2.16485510123729	0.000288166701992692
"TRIB2"	1.11747064612828	0.0386823486003129
"CDH19"	1.13911029883274	0.00382421740449663
"TFRC"	1.38216422447066	9.21007319117191e-107
"CYP2W1"	-1.8714447663838	0.000185562051604144
"GSDMB"	-1.12762929985124	0.000254706012105408
"PPP2R2C"	1.10660462119459	0.000213890715121789
"ADD2"	-2.40147794112746	1.72764467385545e-07
"GPC4"	4.11210353502399	0.00938216245571894
"PAK3"	1.50801015911893	1.66377951113362e-07
"CAPN6"	4.09607261865627	0.00983428560120143
"SPAG6"	4.28470301293346	0.0230661180253702
"SMC1B"	-1.60456818464045	0.00669463207263753
"ITM2A"	2.92097812185455	0.0311814030961298
"TP73"	-1.28820325184059	4.08954406708093e-06
"SLC1A3"	1.95008914514942	9.61297584711559e-23
"CEACAM1"	-1.21378660273617	0.0189294480237714
"RIMS1"	1.90916109760684	3.99366257753864e-24
"COL5A3"	1.15298724101836	0.000821470946238886
"CADPS2"	1.3137080189852	1.97743080276326e-22
"IGSF9"	-1.2813106397734	0.00271458829571517
"FOLH1"	2.31630384012712	0.027978977899939
"HSD17B2"	3.14733207346305	0.0381289727719759
"NOX4"	-1.9408165558375	6.49302689588601e-05
"TFAP2C"	-1.75922021057799	0.00270802059172596
"SMOX"	-1.09819062944902	0.000307424928389024
"FXYD3"	-1.29843111685145	0.0180367422759906
"LAG3"	-1.21820124596769	0.000447728313595667
"ARHGAP4"	-2.17464832537977	0.00156236125463404
"YPEL3"	-1.09041809506989	9.51791615560105e-09
"SI"	-1.93579835133038	3.43820156107791e-19
"FLT3LG"	-1.30950218799076	0.0446697849638155
"NRCAM"	-1.78856604903939	1.36414905842029e-61
"TF"	3.92420157488183	0.0303906862382075
"PTGS1"	1.35623222379381	7.57508158870816e-05
"CRAT"	-1.07681970303105	5.69326201656391e-15
"IL11"	-1.57000477178817	1.38275554960166e-25
"SMIM24"	-1.27321596864825	0.0215413548928302
"SUSD2"	1.53764859922759	0.00473047512776951
"PLA2G3"	1.11581822835755	0.0243130887184076
"SEPTIN3"	-1.5150501223562	0.00472854506950978
"MLC1"	-5.13566569945319	4.03708769509124e-12
"CDKL1"	1.1395379321741	5.16468780412069e-06
"ASB2"	4.17579947730185	0.030690325657574
"SLC8A3"	-1.73371898412903	0.000913548538040502
"DHRS2"	-1.71899457790293	1.5707178235489e-12
"NFATC2"	-1.17814345447394	5.37238051987253e-05
"SLC17A9"	1.88775495495659	1.13063167218024e-18
"BIRC7"	-2.03145622241508	0.00621544530661881
"MYLK2"	-1.02544958301395	0.0172596247699545
"ZNF516"	-1.32850872130595	0.000935396258312536
"LIPG"	-1.10924323248461	9.6436494603148e-11
"KCND1"	-1.19649562519083	0.0221856397007547
"KLHL4"	-2.55064760750109	2.48728851174631e-96
"TNFSF13B"	-1.10891187656367	7.83587847422495e-09
"RGCC"	-2.00531851910766	1.47445530834424e-21
"FA2H"	-1.77383334946198	0.000629129567856798
"QPRT"	-1.31176239035884	8.30917186661774e-16
"TMC5"	1.03882947307467	0.0148027066927577
"ACSBG1"	-1.48728365858526	0.0231303944045576
"BMF"	-1.19726773769933	2.86556839789184e-40
"RHOV"	-1.662161989416	5.3667020432945e-06
"TRPA1"	-1.04423209551233	1.88346085474984e-10
"CALB1"	-1.44074075376501	0.0117313154806391
